,review_text,review_date,review_title,review_stars,product_category
11,First please we want to install a softwere rather than the arduino programming software. That was available in youtube videos. After installing that softwere only the arduino programming software shows the port. So dont be worry that the arduino software showing the the port is not connected....,Reviewed in India 🇮🇳 on 17 April 2021,"4.0 out of 5 stars
Important message",4.0 out of 5 stars,Industrial and Scientific
12,It is a good product Be carfull to giving power to ARDUINO,Reviewed in India 🇮🇳 on 5 November 2022,"5.0 out of 5 stars
Be carfull to giving power to ARDUINO",5.0 out of 5 stars,Industrial and Scientific
13,Thanks for delivering this product to me.... It is working fine....1.Packaging was good.2.Delivery was late.... I am from farflung area of kashmir(Anantnag so leave this excuse).3. Working is fine.4. Provides voltage as is and in description.5. Please provide bottom insulation for short circuit....6.works easily and takes code also in fine stateThanks👌,Reviewed in India 🇮🇳 on 6 January 2022,"5.0 out of 5 stars
All over working and service",5.0 out of 5 stars,Industrial and Scientific
14,"The media could not be loaded.
                



 The board is working as per my expectations. Provided extra male pins are very useful. It comes with a 1 feet cable, see the video. For me it worked just with Arduino IDE. But sometime you may need to install CH340 driver to recognize it by your laptop or PC. Hope it helps.",Reviewed in India 🇮🇳 on 20 April 2022,"5.0 out of 5 stars
Great for beginners",5.0 out of 5 stars,Industrial and Scientific
15,works just fine,Reviewed in India 🇮🇳 on 5 November 2022,"5.0 out of 5 stars
Dependablle product",5.0 out of 5 stars,Industrial and Scientific
16,The board works fine... But is not an original Arduino BoardIt uses the atmel microprocessor but ch340g  for serial communicationGood if you want to save a buck but if you're not on a budget get the original board.,Reviewed in India 🇮🇳 on 22 March 2021,"3.0 out of 5 stars
Good but not Arduino",3.0 out of 5 stars,Industrial and Scientific
17,I have use this to make a device for measure co2 concentration inside a room. Looks like it working fine.,Reviewed in India 🇮🇳 on 24 May 2021,"4.0 out of 5 stars
Great",4.0 out of 5 stars,Industrial and Scientific
18,Good arduino uno,Reviewed in India 🇮🇳 on 10 September 2022,"5.0 out of 5 stars
Good",5.0 out of 5 stars,Industrial and Scientific
19,Works as indended and was nicely packed and still working,Reviewed in India 🇮🇳 on 10 June 2021,"4.0 out of 5 stars
Works pretty well",4.0 out of 5 stars,Industrial and Scientific
20,"I had very bad experience with these Arduino boards. And I've seen this kind of issue for the very first time.I ordered 6 Arduino Boards.After 1-2 programming iterations, the all board stopped getting re-programmed and started showing following error:Sketch uses 4262 bytes (13%) of program storage space. Maximum is 32256 bytes.Global variables use 249 bytes (12%) of dynamic memory, leaving 1799 bytes for local variables. Maximum is 2048 bytes.avrdude: stk500_getsync() attempt 1 of 10: not in sync: resp=0x30avrdude: stk500_getsync() attempt 2 of 10: not in sync: resp=0x0favrdude: stk500_getsync() attempt 3 of 10: not in sync: resp=0x10avrdude: stk500_getsync() attempt 4 of 10: not in sync: resp=0x20avrdude: stk500_getsync() attempt 5 of 10: not in sync: resp=0x0favrdude: stk500_getsync() attempt 6 of 10: not in sync: resp=0x10avrdude: stk500_getsync() attempt 7 of 10: not in sync: resp=0x30avrdude: stk500_getsync() attempt 8 of 10: not in sync: resp=0x0favrdude: stk500_getsync() attempt 9 of 10: not in sync: resp=0x10avrdude: stk500_getsync() attempt 10 of 10: not in sync: resp=0x20An error occurred while uploading the sketch",Reviewed in India 🇮🇳 on 17 June 2020,"1.0 out of 5 stars
Board doesn't get programmed after a couple of times",1.0 out of 5 stars,Industrial and Scientific
21,Pins damagedNot checked yet,Reviewed in India 🇮🇳 on 11 April 2021,"4.0 out of 5 stars
See photos",4.0 out of 5 stars,Industrial and Scientific
22,Food,Reviewed in India 🇮🇳 on 18 July 2022,"5.0 out of 5 stars
Good",5.0 out of 5 stars,Industrial and Scientific
23,Very good and secure packing and product is very good,Reviewed in India 🇮🇳 on 9 December 2020,"4.0 out of 5 stars
Best in budget",4.0 out of 5 stars,Industrial and Scientific
24,Return and replacement not available on this product dont buy,Reviewed in India 🇮🇳 on 31 December 2022,"1.0 out of 5 stars
Return and replacement not available",1.0 out of 5 stars,Industrial and Scientific
25,Using for R and D,Reviewed in India 🇮🇳 on 28 December 2020,"4.0 out of 5 stars
Easy to use",4.0 out of 5 stars,Industrial and Scientific
26,cnc write,Reviewed in India 🇮🇳 on 18 May 2022,"5.0 out of 5 stars
Nice product 👌",5.0 out of 5 stars,Industrial and Scientific
27,"The only difference with original is, you may need to download the usb driver for board. I had to download the driver in one computer, but didn't need to in another computer.",Reviewed in India 🇮🇳 on 5 March 2021,"5.0 out of 5 stars
Works exactly like original!!!",5.0 out of 5 stars,Industrial and Scientific
28,Good purchase.,Reviewed in India 🇮🇳 on 20 April 2022,"5.0 out of 5 stars
Best for beginers",5.0 out of 5 stars,Industrial and Scientific
29,"The media could not be loaded.
                



 Very nice packaging good quality product for beginners.",Reviewed in India 🇮🇳 on 22 April 2022,"5.0 out of 5 stars
The quality of the product",5.0 out of 5 stars,Industrial and Scientific
30,just now received...not even used..hope for best....looks like perfect...and as expected....similar to the picture....go for it...,Reviewed in India 🇮🇳 on 17 March 2020,"4.0 out of 5 stars
good choice.",4.0 out of 5 stars,Industrial and Scientific
31,I loved the product.,Reviewed in India 🇮🇳 on 29 January 2022,"5.0 out of 5 stars
Everything is great.",5.0 out of 5 stars,Industrial and Scientific
32,It's great product for 6 months but after that some  pins will become faulty,Reviewed in India 🇮🇳 on 14 June 2020,"3.0 out of 5 stars
Moderate",3.0 out of 5 stars,Industrial and Scientific
33,Super quality product,Reviewed in India 🇮🇳 on 24 January 2022,"5.0 out of 5 stars
Nice product",5.0 out of 5 stars,Industrial and Scientific
34,Value for money,Reviewed in India 🇮🇳 on 13 January 2022,"5.0 out of 5 stars
Really cheap and works good ,quite appreciable",5.0 out of 5 stars,Industrial and Scientific
35,Like,Reviewed in India 🇮🇳 on 3 February 2022,"5.0 out of 5 stars
Super items",5.0 out of 5 stars,Industrial and Scientific
36,"Worst Arduino..my son made a project n it was not uploading at all.. He tried every other code but Arduino was faulty.. n now it's 3mnths i bought it ,i can't even return or exchange ... Dont buy this one at all.. full wastage",Reviewed in India 🇮🇳 on 26 January 2022,"1.0 out of 5 stars
Worst Arduino..",1.0 out of 5 stars,Industrial and Scientific
37,The media could not be loaded.,Reviewed in India 🇮🇳 on 8 January 2022,"5.0 out of 5 stars
Best for project s",5.0 out of 5 stars,Industrial and Scientific
38,this is best arduino uno in cheap,Reviewed in India 🇮🇳 on 27 April 2021,"5.0 out of 5 stars
This is best Cheapest arduino uno 🤩 Woking very well condition is suberb",5.0 out of 5 stars,Industrial and Scientific
39,Super quality product i like itValue of money....👍👍,Reviewed in India 🇮🇳 on 25 February 2021,"5.0 out of 5 stars
Cable should be big in size",5.0 out of 5 stars,Industrial and Scientific
40,I'm using it from 2 years.It's working smoothly.,Reviewed in India 🇮🇳 on 23 January 2021,"5.0 out of 5 stars
Good one",5.0 out of 5 stars,Industrial and Scientific
41,The UNO is working but after downloading a zip file from wcn.cn,Reviewed in India 🇮🇳 on 19 March 2019,"3.0 out of 5 stars
Good",3.0 out of 5 stars,Industrial and Scientific
42,Nice product...,Reviewed in India 🇮🇳 on 18 August 2019,"4.0 out of 5 stars
Good deal",4.0 out of 5 stars,Industrial and Scientific
43,Value for money,Reviewed in India 🇮🇳 on 26 April 2021,"5.0 out of 5 stars
Expectations Satisfied",5.0 out of 5 stars,Industrial and Scientific
44,good,Reviewed in India 🇮🇳 on 8 July 2019,"4.0 out of 5 stars
good",4.0 out of 5 stars,Industrial and Scientific
45,It is a fake one. It is useless to buy this.,Reviewed in India 🇮🇳 on 27 August 2020,"5.0 out of 5 stars
Fake product",5.0 out of 5 stars,Industrial and Scientific
46,Excellent productRobocraze is best for selling electronic products,Reviewed in India 🇮🇳 on 5 November 2020,"5.0 out of 5 stars
Excellent",5.0 out of 5 stars,Industrial and Scientific
47,Very best product,Reviewed in India 🇮🇳 on 23 March 2021,"5.0 out of 5 stars
This is c340g aurdino so if you want to use you can  download c340g driver from chrome",5.0 out of 5 stars,Industrial and Scientific
48,Good product...usb cable also good,Reviewed in India 🇮🇳 on 18 November 2018,"4.0 out of 5 stars
Mostafizur",4.0 out of 5 stars,Industrial and Scientific
49,good,Reviewed in India 🇮🇳 on 27 April 2021,"5.0 out of 5 stars
good",5.0 out of 5 stars,Industrial and Scientific
50,"Useless product can't be programmed.....And i was so unlucky that i tried to programme it after return period got over due to lack of time and late delivery of sensor parts.,😢😢",Reviewed in India on 1 November 2021,"1.0 out of 5 stars
Item not working",1.0 out of 5 stars,Industrial and Scientific
51,Good,Reviewed in India on 18 April 2021,"5.0 out of 5 stars
Good",5.0 out of 5 stars,Industrial and Scientific
52,Arrived in good condition,Reviewed in India on 21 January 2021,"5.0 out of 5 stars
Good condition",5.0 out of 5 stars,Industrial and Scientific
53,"Boards works fine, however received damage usb cable hence giving 2 stars",Reviewed in India on 26 August 2020,"2.0 out of 5 stars
Damaged cable. Board ok",2.0 out of 5 stars,Industrial and Scientific
54,Great product . Totally worthPackaging was excellent and product in it's specific cardboard box,Reviewed in India on 19 June 2019,"5.0 out of 5 stars
Just as expected",5.0 out of 5 stars,Industrial and Scientific
55,Fake board,Reviewed in India on 24 May 2022,"1.0 out of 5 stars
Clone",1.0 out of 5 stars,Industrial and Scientific
56,good,Reviewed in India on 3 August 2020,"5.0 out of 5 stars
good",5.0 out of 5 stars,Industrial and Scientific
57,nothing new to be told about uno,Reviewed in India on 26 October 2019,"5.0 out of 5 stars
great",5.0 out of 5 stars,Industrial and Scientific
58,i used this to make a robot but its not codding and wire is not working returend immediately,Reviewed in India on 2 May 2021,"1.0 out of 5 stars
waste of money",1.0 out of 5 stars,Industrial and Scientific
59,Very good,Reviewed in India on 22 March 2020,"5.0 out of 5 stars
Amazing",5.0 out of 5 stars,Industrial and Scientific
60,Nice product  and easy to handle,Reviewed in India 🇮🇳 on 17 July 2019,"5.0 out of 5 stars
Good",5.0 out of 5 stars,Industrial and Scientific
61,Mine arduino was not booted I have to first  boot it. Form another arduino,Reviewed in India 🇮🇳 on 8 April 2021,"1.0 out of 5 stars
Not booted",1.0 out of 5 stars,Industrial and Scientific
62,Bad product. It just died during programming. Don't waste your money on this product.,Reviewed in India 🇮🇳 on 29 April 2021,"1.0 out of 5 stars
Very dissatisfying and disappointed.",1.0 out of 5 stars,Industrial and Scientific
63,"No manufacturers and Arduino name is found, not possible to connect with software for programming.",Reviewed in India 🇮🇳 on 27 March 2021,"1.0 out of 5 stars
Don't buy",1.0 out of 5 stars,Industrial and Scientific
64,"it's not working after 3 days don't purchase it, dont waste your money",Reviewed in India 🇮🇳 on 19 May 2021,"1.0 out of 5 stars
don't buy",1.0 out of 5 stars,Industrial and Scientific
65,Ulala ulala,Reviewed in India 🇮🇳 on 10 December 2019,"5.0 out of 5 stars
Ulalanulala",5.0 out of 5 stars,Industrial and Scientific
66,I liked it  very much,Reviewed in India 🇮🇳 on 5 June 2019,"5.0 out of 5 stars
It is so good for beginners and good for summer projects.",5.0 out of 5 stars,Industrial and Scientific
67,Super product,Reviewed in India 🇮🇳 on 13 December 2019,"5.0 out of 5 stars
Good",5.0 out of 5 stars,Industrial and Scientific
68,Good valuable product,Reviewed in India 🇮🇳 on 7 October 2019,"5.0 out of 5 stars
About",5.0 out of 5 stars,Industrial and Scientific
69,Super,Reviewed in India 🇮🇳 on 18 November 2019,"5.0 out of 5 stars
Good",5.0 out of 5 stars,Industrial and Scientific
70,I am very disappointedMain item missed only cable recivedPls send bord sir,Reviewed in India on 6 February 2021,"1.0 out of 5 stars
Very bad",1.0 out of 5 stars,Industrial and Scientific
71,It works properly,Reviewed in India on 15 August 2019,"5.0 out of 5 stars
Very good product",5.0 out of 5 stars,Industrial and Scientific
72,,Reviewed in India on 30 October 2021,"1.0 out of 5 stars
Not working 😠😠😠😠😠 don't buy this",1.0 out of 5 stars,Industrial and Scientific
73,,Reviewed in India on 30 October 2021,"1.0 out of 5 stars
Useless",1.0 out of 5 stars,Industrial and Scientific
74,This arduino boards are not workingI got 4 of them and checked it only after the return able timeNow it is only waste of money,Reviewed in India on 4 October 2019,"1.0 out of 5 stars
Very bad",1.0 out of 5 stars,Industrial and Scientific
75,Superb quality,Reviewed in India on 24 July 2019,"5.0 out of 5 stars
Go",5.0 out of 5 stars,Industrial and Scientific
76,arduino port not workingnot able to upload the code,Reviewed in India on 21 March 2021,"1.0 out of 5 stars
error",1.0 out of 5 stars,Industrial and Scientific
77,,Reviewed in India on 10 August 2021,"1.0 out of 5 stars
This board is only waste of money and time.It can not be programmed.",1.0 out of 5 stars,Industrial and Scientific
78,Worth it,Reviewed in India on 22 March 2019,"5.0 out of 5 stars
Buy it",5.0 out of 5 stars,Industrial and Scientific
79,Not working worst money,Reviewed in India on 21 May 2021,"1.0 out of 5 stars
Not working",1.0 out of 5 stars,Industrial and Scientific
80,it turned out to be a cheap fake model of the real version.codes also do not get uploaded,Reviewed in India on 17 March 2020,"1.0 out of 5 stars
it does not work",1.0 out of 5 stars,Industrial and Scientific
81,Good worth for money,Reviewed in India on 8 November 2018,"5.0 out of 5 stars
Great product and worth it.",5.0 out of 5 stars,Industrial and Scientific
82,The product is waste first I was not able to program and when I was programmed then the board does not respond anything and continue the last program,Reviewed in India on 12 January 2019,"1.0 out of 5 stars
Worst arduino in this price don't buy it",1.0 out of 5 stars,Industrial and Scientific
83,"The media could not be loaded.
                



 Damage part received.",Reviewed in India on 15 January 2021,"1.0 out of 5 stars
Damage",1.0 out of 5 stars,Industrial and Scientific
84,product not working.,Reviewed in India on 17 March 2021,"1.0 out of 5 stars
Aurdino board",1.0 out of 5 stars,Industrial and Scientific
85,Not working,Reviewed in India on 13 April 2021,"1.0 out of 5 stars
The worst",1.0 out of 5 stars,Industrial and Scientific
86,Working great,Reviewed in India on 24 December 2018,"5.0 out of 5 stars
Good",5.0 out of 5 stars,Industrial and Scientific
87,Interface error,Reviewed in India on 31 March 2021,"1.0 out of 5 stars
Voltage error and can't interface with display",1.0 out of 5 stars,Industrial and Scientific
88,Third class,Reviewed in India on 29 January 2021,"1.0 out of 5 stars
Third class",1.0 out of 5 stars,Industrial and Scientific
89,Waste of money,Reviewed in India on 30 December 2020,"1.0 out of 5 stars
Waste of money",1.0 out of 5 stars,Industrial and Scientific
90,I don't get connectivity Cable which mentioned in our product.This was very bad experience when I received that product,Reviewed in India on 29 October 2018,"1.0 out of 5 stars
I don't get connectivity Cable which mentioned in our product.",1.0 out of 5 stars,Industrial and Scientific
91,Clone,Reviewed in India on 6 November 2020,"1.0 out of 5 stars
Be careful",1.0 out of 5 stars,Industrial and Scientific
92,there is no zero rating so only i m giving one rating it was waste of money,Reviewed in India on 2 March 2019,"1.0 out of 5 stars
waste of money",1.0 out of 5 stars,Industrial and Scientific
93,Product not working. It's Duplicate.,Reviewed in India on 23 May 2020,"1.0 out of 5 stars
Does not work",1.0 out of 5 stars,Industrial and Scientific
94,It Is A Duplicate Arduino Board,Reviewed in India on 13 January 2020,"1.0 out of 5 stars
Duplicate content And Board",1.0 out of 5 stars,Industrial and Scientific
95,Not workingPlease refund the money,Reviewed in India on 25 December 2019,"1.0 out of 5 stars
Waste..",1.0 out of 5 stars,Industrial and Scientific
96,Only had a blister cover as packing,Reviewed in India on 29 October 2019,"2.0 out of 5 stars
Improper packing",2.0 out of 5 stars,Industrial and Scientific
97,Waste product processor is not responding.Even tried 10 times it's not solved.even tried many ways by watching youtube but failed.,Reviewed in India on 8 May 2021,"1.0 out of 5 stars
Waste product can not be used after purchase.",1.0 out of 5 stars,Industrial and Scientific
98,Good product,Reviewed in India on 25 May 2019,"4.0 out of 5 stars
Good product",4.0 out of 5 stars,Industrial and Scientific
99,After one month while I was uploaded code the the blew up and so much of smoke same,Reviewed in India on 10 July 2020,"1.0 out of 5 stars
Very bad product",1.0 out of 5 stars,Industrial and Scientific
100,Useless not working unproggramable,Reviewed in India 🇮🇳 on 15 June 2019,"1.0 out of 5 stars
Wastage of money",1.0 out of 5 stars,Industrial and Scientific
101,bought two boards of which one wasn't working promptly replaced by amazon  even in times of corona.UpdateOne of the board got damaged now outside return window unable to upload code. Tried to burn bootloader still not working,Reviewed in India 🇮🇳 on 26 July 2020,"3.0 out of 5 stars
Not so good",3.0 out of 5 stars,Industrial and Scientific
102,buy it its worth it just install the drivera if its not showing in ardino software,Reviewed in India 🇮🇳 on 28 October 2021,"5.0 out of 5 stars
nice its woorks good",5.0 out of 5 stars,Industrial and Scientific
103,The board is working perfectlyThe male pins which are added in Arduino are not pre attached if you want you have to make an effort for it.Thank you.,Reviewed in India 🇮🇳 on 27 March 2021,"5.0 out of 5 stars
Its good and working of board is perfect",5.0 out of 5 stars,Industrial and Scientific
104,UNO R3 SMD Board is a compatible one to work with.,Reviewed in India 🇮🇳 on 18 January 2021,"5.0 out of 5 stars
Very good Development from RoboCraze",5.0 out of 5 stars,Industrial and Scientific
