,review_text,review_date,review_title,review_stars,product_category,svc,logistic,naive,random,decision,Result
40,Portable can carry anywhere. Look is very cute. Very useful,Reviewed in India on 20 April 2023,"5.0 out of 5 stars
Very cute",5.0 out of 5 stars,b,OR,OR,CG,OR,OR,OR
41,Old piece not working,Reviewed in India on 16 May 2023,"3.0 out of 5 stars
Not working",3.0 out of 5 stars,b,OR,CG,CG,CG,CG,CG
42,Good quality product.Provides good protection against rain.Useful product,Reviewed in India on 18 April 2023,"5.0 out of 5 stars
Nice product",5.0 out of 5 stars,b,OR,OR,CG,CG,CG,CG
43,Excellent Product. Satisfied with the quality. So compact umbrella,Reviewed in India on 16 April 2023,"5.0 out of 5 stars
Nice product",5.0 out of 5 stars,b,OR,OR,CG,OR,OR,OR
44,"Colors n package is beautiful but the quality of article is not.... Like the rod, handle, button, opening n closer is difficult.Not at all Durable. In short bas  dekhna aur dikhane k liye sundar.They will give u Rs. 50 UPI TO Rate 5 stars. All those ppl giving 5 stars are bought in Rs 50.",Reviewed in India on 14 May 2023,"1.0 out of 5 stars
Sirf Ghar Mein taangne k liye hai. Only fancy not durable and poor ergonomics",1.0 out of 5 stars,b,OR,OR,OR,OR,OR,OR
45,Received this product today. Quality is just okay. Material is thin hope it last for 2-3 months. Design looks good but quality wise it’s not up to mark,Reviewed in India on 11 May 2023,"1.0 out of 5 stars
Just Okay",1.0 out of 5 stars,b,OR,CG,OR,CG,CG,CG
46,Not recommended from my side. Poor quality.,Reviewed in India on 9 June 2023,"1.0 out of 5 stars
Not good",1.0 out of 5 stars,b,OR,OR,CG,CG,OR,OR
47,"Good umbrella to use and easy to carry ,  bought it for my daughter  and she loved itMust buy!",Reviewed in India on 26 May 2023,"5.0 out of 5 stars
Nice",5.0 out of 5 stars,b,CG,CG,CG,CG,OR,CG
48,It is very good product.it is easy to carry the product as it folds and can be easily carried in a bag/school bag,Reviewed in India on 9 May 2023,"5.0 out of 5 stars
OVERALL THIS IS A GOOD PRODUCT",5.0 out of 5 stars,b,OR,OR,OR,OR,CG,OR
49,This is an ideal product. Best to fit in pocket and best to fit to your pocket.Definitely recommend for a great quality.,Reviewed in India on 5 May 2023,"5.0 out of 5 stars
Perfect umbrella for pre rain for you and your little ones",5.0 out of 5 stars,b,OR,OR,CG,CG,OR,OR
50,"Very good product, handy and small. Weightless have never seen so small umbrella. You can carry it in any bag.",Reviewed in India 🇮🇳 on 18 April 2023,Good Product,5.0 out of 5 stars,b,OR,OR,OR,CG,CG,OR
51,Good product you can definitely go for it build quality is very good and steady. It was very portable and handy good product satisfied.,Reviewed in India 🇮🇳 on 2 May 2023,Portable and easy to handle,5.0 out of 5 stars,b,OR,OR,CG,OR,OR,OR
52,It's really a good umbrella..it's build quality ia really goodAnd also the comfort and size also goodVery cute looking it's really good,Reviewed in India 🇮🇳 on 1 May 2023,Very good,5.0 out of 5 stars,b,CG,CG,CG,CG,OR,CG
53,Got this Umbrella is very good in quality .and also good in size . This is really perfect. Light in weight with good strength. Easy to carry  .Foldable feature is also available. strongly recommend . Cloth material is also good .So beautiful colour  . Worth buying .,Reviewed in India 🇮🇳 on 7 May 2023,Very Good Umbrella,5.0 out of 5 stars,b,OR,OR,OR,CG,CG,OR
54,This umbrella is compact and the case it comes with is so good. You can easily store your used wet umbrella in it and put it in ur bag.,Reviewed in India 🇮🇳 on 6 May 2023,Good product,5.0 out of 5 stars,b,OR,OR,OR,OR,OR,OR
55,Would give it no stars if I could.,Reviewed in India 🇮🇳 on 12 June 2023,Broke in the first use because of wind,1.0 out of 5 stars,b,OR,OR,OR,CG,OR,OR
56,"It looks like capsule umbrella, becomes very small n easily carriable and fit in bag quickly. Color design is good",Reviewed in India 🇮🇳 on 22 April 2023,Capsule umbrella,5.0 out of 5 stars,b,OR,OR,OR,OR,OR,OR
57,"very cute umbrella, very small and compact to carry. very good seller",Reviewed in India 🇮🇳 on 8 May 2023,so cute,5.0 out of 5 stars,b,OR,OR,OR,OR,OR,OR
58,"I like the product, it is very useful for the rainy seasons.We enjoyed purchasing the product .",Reviewed in India 🇮🇳 on 21 April 2023,wow,5.0 out of 5 stars,b,OR,OR,CG,OR,OR,OR
59,Good product,Reviewed in India 🇮🇳 on 2 May 2023,Osm product,5.0 out of 5 stars,b,OR,CG,CG,OR,OR,OR
60,Very Good Product,Reviewed in India on 20 April 2023,"5.0 out of 5 stars
Good",5.0 out of 5 stars,b,OR,OR,CG,OR,OR,OR
61,Useful and best quality product it's worth it. Go for it,Reviewed in India on 5 May 2023,"5.0 out of 5 stars
Go for it",5.0 out of 5 stars,b,CG,CG,CG,CG,CG,CG
62,"The product is decent, suitable for summers and rainy.Seems to be durable because the handle material looks good.",Reviewed in India on 8 May 2023,"5.0 out of 5 stars
Awesome Quality!!",5.0 out of 5 stars,b,OR,OR,CG,CG,OR,OR
63,Only good thing it's compactQuality wise not so good,Reviewed in India on 12 June 2023,"3.0 out of 5 stars
Average",3.0 out of 5 stars,b,OR,OR,OR,OR,OR,OR
64,Very good and useful product and in this price range is a  very good buy.,Reviewed in India on 17 April 2023,"5.0 out of 5 stars
Very good product",5.0 out of 5 stars,b,OR,OR,CG,OR,OR,OR
65,Its very helpful for kid I love this very useful,Reviewed in India on 27 April 2023,"5.0 out of 5 stars
Very good product",5.0 out of 5 stars,b,OR,OR,CG,CG,CG,CG
66,I totally love the quality of the umbrella very affordable totally useful i liked it very much very handy and extremely useful highly recommendedl,Reviewed in India on 22 April 2023,"5.0 out of 5 stars
Very amazing umbrella",5.0 out of 5 stars,b,OR,OR,OR,OR,OR,OR
67,Sach me bahut helpful h nice product mujhe bahut accha lga,Reviewed in India on 20 April 2023,"5.0 out of 5 stars
Product review",5.0 out of 5 stars,b,OR,OR,OR,OR,OR,OR
68,Very good quality product.must buy.,Reviewed in India on 7 May 2023,"5.0 out of 5 stars
Useful and good product",5.0 out of 5 stars,b,CG,CG,CG,CG,CG,CG
69,"it was really a interesting product , very easy to handle. The good thing is they gave the umbrella cover with with the capsule cover. I am very happy to use this product .Recommended",Reviewed in India on 5 May 2023,"5.0 out of 5 stars
Osm product",5.0 out of 5 stars,b,CG,CG,CG,CG,OR,CG
70,It's so tiny and beautiful but yet so effective. Now no need to carry long umbrella. This is so perfect that I can carry this anywhere easily. Really very good one.,Reviewed in India on 25 April 2023,"5.0 out of 5 stars
Tiny awesome umbrella",5.0 out of 5 stars,b,OR,OR,OR,OR,OR,OR
71,"it was really a interesting product , very easy to handle. The good thing is they gave the umbrella cover with with the capsule cover. I am very happy to use this product .Recommended",Reviewed in India on 5 May 2023,"5.0 out of 5 stars
Osm product",5.0 out of 5 stars,b,CG,CG,CG,CG,OR,CG
72,Quality of this mini umbrella is very fine and nice with good size to cover 1 person recommended to buy,Reviewed in India on 7 May 2023,"5.0 out of 5 stars
Superb Quality Mini Umbrella",5.0 out of 5 stars,b,OR,CG,CG,OR,CG,CG
73,"The quality of the product is very good, woth buying it, the size of is perfect for one person, the quality of umbrella is very good, much recommended",Reviewed in India on 2 May 2023,"5.0 out of 5 stars
Very good product",5.0 out of 5 stars,b,CG,CG,CG,CG,OR,CG
74,This is the best product i have ever got from amazon Loved it!,Reviewed in India on 20 April 2023,"5.0 out of 5 stars
Best product ever",5.0 out of 5 stars,b,OR,OR,CG,OR,OR,OR
75,Good quality material beProvides good protection against rain.Useful product in small pack,Reviewed in India on 20 April 2023,"5.0 out of 5 stars
Best quality",5.0 out of 5 stars,b,CG,CG,CG,CG,OR,CG
76,"Loved the color and quality of the Product. Capsule to store the umbrella is so cool. Very useful, light weight and handy.",Reviewed in India on 16 April 2023,"5.0 out of 5 stars
Best mini umbrella",5.0 out of 5 stars,b,OR,OR,OR,OR,OR,OR
77,The bulid quality is excellent best thing is to esay to carry the any place not take much space. Overall good product.,Reviewed in India on 23 April 2023,"5.0 out of 5 stars
Valuable product must buy it",5.0 out of 5 stars,b,OR,OR,OR,OR,OR,OR
78,Good looking umbrella...purchased it for my daughter.,Reviewed in India on 20 April 2023,"5.0 out of 5 stars
Looks good",5.0 out of 5 stars,b,OR,OR,CG,CG,CG,CG
79,I just live this ProductThe quality is so goodI love it,Reviewed in India on 15 May 2023,"5.0 out of 5 stars
Awesome",5.0 out of 5 stars,b,OR,OR,CG,CG,OR,OR
80,Very nice product. Easy to use and comfortable.It is so compact that I can carry everywhere with out any tension and burden .Light weight also.,Reviewed in India 🇮🇳 on 18 April 2023,"5.0 out of 5 stars
Nice product",5.0 out of 5 stars,b,OR,OR,CG,CG,OR,OR
81,It's really very amazing,Reviewed in India 🇮🇳 on 23 May 2023,"5.0 out of 5 stars
Amazing",5.0 out of 5 stars,b,OR,OR,CG,OR,OR,OR
82,This product comes very handy. I love this product very much. It is very good and value for money.,Reviewed in India 🇮🇳 on 24 April 2023,"5.0 out of 5 stars
Good",5.0 out of 5 stars,b,OR,OR,CG,CG,OR,OR
83,It's nice and good. Mujhe bahut acha laga. Everything is perfect,Reviewed in India 🇮🇳 on 19 April 2023,"5.0 out of 5 stars
It's really good",5.0 out of 5 stars,b,OR,OR,CG,OR,OR,OR
84,Very useful in heavy rain must iteam in car. Value for money. attractive product,Reviewed in India 🇮🇳 on 17 April 2023,"5.0 out of 5 stars
Useful",5.0 out of 5 stars,b,OR,OR,CG,OR,OR,OR
85,This is a strong ultra foldable umbrella. This umbrella is looking nice. Compact in size after folding. So easy to carry it in the bag or purses. The anti uv cloth Blocks uv light.,Reviewed in India 🇮🇳 on 26 April 2023,"5.0 out of 5 stars
Cute small strong umbrella.",5.0 out of 5 stars,b,OR,OR,OR,CG,CG,OR
86,Amazing and good quality product. This product is value for money and easy to carry and handle.,Reviewed in India 🇮🇳 on 24 April 2023,"5.0 out of 5 stars
Nice",5.0 out of 5 stars,b,CG,CG,CG,CG,OR,CG
87,This is a mini umbrella..easy to carry ..easy to use ..easy to handle,Reviewed in India 🇮🇳 on 7 May 2023,"5.0 out of 5 stars
Easy to handle",5.0 out of 5 stars,b,CG,CG,CG,CG,OR,CG
88,It is compact and made of good quality materials. The case is good and makes it easy to store in bags after use.,Reviewed in India 🇮🇳 on 6 May 2023,"5.0 out of 5 stars
Nice product",5.0 out of 5 stars,b,CG,CG,CG,CG,CG,CG
89,"Umbrella aqurate space for 1 person and quality of fabric is best . Material used for making this also good quality. This bought for my younger sister, she was very happy to grab it . Looks & colour combination was attractive. Very light weight and easy to travel.",Reviewed in India 🇮🇳 on 6 May 2023,"5.0 out of 5 stars
Nice quality",5.0 out of 5 stars,b,CG,CG,OR,CG,OR,CG
90,This product is very good product. It's nice. It's product price of money ok.its good looking.,Reviewed in India on 12 May 2023,"5.0 out of 5 stars
Good product",5.0 out of 5 stars,b,OR,CG,CG,OR,OR,OR
91,This umbrella has amazing fabric quality. The product quality is amazing. Very small capsule. Nice product.,Reviewed in India on 3 May 2023,"5.0 out of 5 stars
Unique",5.0 out of 5 stars,b,CG,CG,CG,CG,CG,CG
92,"I really like the product,quite affordable and washable , Good product",Reviewed in India on 23 April 2023,"5.0 out of 5 stars
Nice",5.0 out of 5 stars,b,OR,OR,OR,OR,OR,OR
93,Quality mini umbrella in good looking capsule case.Very useful for kids during rainy season for protection.,Reviewed in India on 20 April 2023,"5.0 out of 5 stars
Quality Mini Umbrella in less price",5.0 out of 5 stars,b,OR,OR,OR,OR,CG,OR
94,Tiny umbrella light in weight. Easy to carry anywhere. Eye-catching color. Good quality material looks durable. Value for money. Easy to fold and unfold.,Reviewed in India on 29 April 2023,"5.0 out of 5 stars
Tiny umbrella",5.0 out of 5 stars,b,OR,OR,OR,OR,OR,OR
95,Good product,Reviewed in India on 2 May 2023,"5.0 out of 5 stars
Best quality",5.0 out of 5 stars,b,CG,CG,CG,CG,CG,CG
96,loved its quality,Reviewed in India on 18 April 2023,"5.0 out of 5 stars
wow",5.0 out of 5 stars,b,CG,CG,CG,CG,OR,CG
97,"This is apt in size and easy to carry, light weight and firm yet. I like the color as well and the quality looks durable.",Reviewed in India on 5 May 2023,"5.0 out of 5 stars
Great umbrella",5.0 out of 5 stars,b,OR,OR,CG,OR,OR,OR
